epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5704.97,0.03546,1.13723,0.88443,0.62257,0.7058,0.71852,0.71709,0.14051,0.84666,0.28738,0.00307,0.00307,0.00307
72,5783.91,0.03452,1.14055,0.88495,0.62102,0.70663,0.71917,0.71782,0.14177,0.84555,0.28844,0.002971,0.002971,0.002971
73,5864.26,0.0346,1.13714,0.88465,0.62059,0.71063,0.72109,0.7196,0.14277,0.84468,0.28902,0.002872,0.002872,0.002872
74,5944.1,inf,1.13347,0.88384,0.62176,0.70951,0.72266,0.72104,0.14283,0.84251,0.28881,0.002773,0.002773,0.002773
75,6024.85,0.0339,1.13066,0.88303,0.6259,0.71057,0.72412,0.72283,0.14082,0.83867,0.28591,0.002674,0.002674,0.002674
76,6105.39,0.03417,1.128,0.8838,0.62566,0.71387,0.7267,0.72567,0.13607,0.83133,0.28017,0.002575,0.002575,0.002575
77,6185.87,0.03349,1.11913,0.882,0.62651,0.71442,0.72774,0.72679,0.13326,0.82779,0.27661,0.002476,0.002476,0.002476
78,6266.55,inf,1.12165,0.88507,0.63009,0.71497,0.72928,0.72819,0.13252,0.82538,0.27553,0.002377,0.002377,0.002377
79,6347.05,0.03267,1.1161,0.88508,0.63302,0.71318,0.72994,0.72887,0.13433,0.82477,0.27757,0.002278,0.002278,0.002278
80,6427.24,0.03303,1.11869,0.88513,0.62927,0.71629,0.73046,0.72932,0.1379,0.82729,0.28166,0.002179,0.002179,0.002179
81,6506.22,0.03246,1.1058,0.88353,0.62273,0.72221,0.73135,0.72993,0.14101,0.82835,0.28541,0.00208,0.00208,0.00208
82,6586.53,0.03218,1.11161,0.88424,0.62671,0.71856,0.73176,0.72991,0.14491,0.82952,0.29015,0.001981,0.001981,0.001981
83,6666.62,0.03179,1.10687,0.88471,0.62464,0.72099,0.73284,0.73074,0.14792,0.8297,0.2935,0.001882,0.001882,0.001882
84,6746.35,0.03159,1.10951,0.88419,0.62715,0.71557,0.73256,0.73017,0.1519,0.83029,0.29805,0.001783,0.001783,0.001783
85,6825.57,inf,1.1043,0.88505,0.62594,0.72195,0.73295,0.73042,0.15459,0.82975,0.30119,0.001684,0.001684,0.001684
86,6904.67,0.0312,1.09304,0.88309,0.62895,0.72198,0.73395,0.73121,0.15615,0.82883,0.30297,0.001585,0.001585,0.001585
87,6983.83,0.03056,1.09345,0.88389,0.62567,0.72642,0.73484,0.73216,0.15601,0.82723,0.30278,0.001486,0.001486,0.001486
88,7063.43,0.03004,1.09653,0.88345,0.62539,0.7267,0.73593,0.73317,0.15598,0.82572,0.30269,0.001387,0.001387,0.001387
89,7143.54,0.03022,1.08307,0.88368,0.62683,0.72705,0.73744,0.73481,0.15597,0.82395,0.30255,0.001288,0.001288,0.001288
90,7224.08,0.02987,1.08623,0.88253,0.62931,0.72842,0.73799,0.73532,0.15719,0.82296,0.30401,0.001189,0.001189,0.001189
91,7302.85,inf,0.70569,0.8972,0.62904,0.72963,0.73923,0.73661,0.1591,0.82176,0.30637,0.00109,0.00109,0.00109
92,7380.17,0.01975,0.66792,0.89772,0.62985,0.73039,0.74024,0.73744,0.16124,0.81957,0.30904,0.000991,0.000991,0.000991
93,7457.81,0.01937,0.6526,0.89665,0.63128,0.73227,0.74136,0.73841,0.16269,0.818,0.31087,0.000892,0.000892,0.000892
94,7535.34,0.01891,0.63987,0.89482,0.63513,0.73091,0.74292,0.73994,0.16378,0.81589,0.3123,0.000793,0.000793,0.000793
95,7612.39,0.01828,0.6381,0.89647,0.63768,0.7286,0.74404,0.74117,0.16433,0.8141,0.31326,0.000694,0.000694,0.000694
96,7689.7,0.01833,0.62715,0.89179,0.6322,0.73927,0.74508,0.7423,0.16476,0.81243,0.31401,0.000595,0.000595,0.000595
97,7767.57,0.01802,0.62701,0.89402,0.63825,0.73127,0.74674,0.744,0.16546,0.81065,0.31496,0.000496,0.000496,0.000496
98,7844.71,0.01808,0.61732,0.89641,0.64106,0.72647,0.74785,0.74493,0.16633,0.80901,0.31611,0.000397,0.000397,0.000397
99,7921.6,inf,0.61433,0.89535,0.64123,0.72902,0.74914,0.74622,0.16704,0.80729,0.31719,0.000298,0.000298,0.000298
100,7998.5,0.01736,0.60771,0.89565,0.63951,0.73149,0.75023,0.74729,0.16759,0.80552,0.318,0.000199,0.000199,0.000199
